version,os,arch,compress,url,padding
5.36.1.0,linux,arm64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.1.0/perl-linux-arm64.tar.xz,
5.36.1.0,linux,arm64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.1.0/perl-linux-arm64.tar.gz,
5.36.1.0,darwin,amd64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.1.0/perl-darwin-amd64.tar.xz,
5.36.1.0,darwin,amd64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.1.0/perl-darwin-amd64.tar.gz,
5.36.1.0,darwin,arm64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.1.0/perl-darwin-arm64.tar.xz,
5.36.1.0,darwin,arm64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.1.0/perl-darwin-arm64.tar.gz,
5.36.0.1,linux,amd64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.1/perl-linux-amd64.tar.xz,
5.36.0.1,linux,amd64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.1/perl-linux-amd64.tar.gz,
5.36.0.1,linux,arm64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.1/perl-linux-arm64.tar.xz,
5.36.0.1,linux,arm64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.1/perl-linux-arm64.tar.gz,
5.36.0.1,darwin,amd64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.1/perl-darwin-amd64.tar.xz,
5.36.0.1,darwin,amd64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.1/perl-darwin-amd64.tar.gz,
5.36.0.1,darwin,arm64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.1/perl-darwin-arm64.tar.xz,
5.36.0.1,darwin,arm64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.1/perl-darwin-arm64.tar.gz,
5.36.0.0,linux,amd64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.0/perl-x86_64-linux.tar.xz,
5.36.0.0,linux,amd64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.0/perl-x86_64-linux.tar.gz,
5.36.0.0,linux,arm64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.0/perl-aarch64-linux.tar.xz,
5.36.0.0,linux,arm64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.0/perl-aarch64-linux.tar.gz,
5.36.0.0,darwin,amd64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.0/perl-darwin-2level.tar.xz,
5.36.0.0,darwin,amd64,gz,https://github.com/skaji/relocatable-perl/releases/download/5.36.0.0/perl-darwin-2level.tar.gz,
5.34.1.1,linux,amd64,xz,https://github.com/skaji/relocatable-perl/releases/download/5.34.1.1/perl-x86_64-linux.tar.xz,
